name,description,duration_minutes,required_role
Procedure 1,Космос від'їзд заклад спалити близько.,20,lab_manager
Procedure 2,Різноманітний хліб перебивати соціалістичний ланцюжок ремінь блін простір.,30,nurse
Procedure 3,Багряний каюта брову жорстокий чоловічок провінція страта картинка адже єврейський.,60,researcher
Procedure 4,Розводити падати правління пропадати помовчати насолода кидати від'їзд рота так.,10,administrator
Procedure 5,Паща черговий наполегливо спасти прем'єра паща коробка.,30,researcher
Procedure 6,Протягувати холодно неправда простір поїзд палиця будівництво приятель зима.,60,phlebotomist
Procedure 7,Виникнення фахівець гіркий отже покидати будівництво бочок м'який штаб лягати.,10,lab_technician
Procedure 8,Наполегливо кут крутий розвернутися сміливий яблуко.,20,lab_technician
Procedure 9,ПодвірʼЯ природний розстебнути прихований перебивати.,10,technician
Procedure 10,Самостійно діставати подробиця вітрина пристойний безглуздий.,15,administrator
Procedure 11,Даль витягувати незвичайний прірва від'їзд ремінь вечір хлопчисько відповісти.,60,administrator
Procedure 12,Реклама плід метелик польовий тютюн.,5,lab_manager
Procedure 13,Уточнити інфекція прелесть незвичний наступати яблуко редактор військовий падати ковзати.,5,researcher
Procedure 14,Кора грати зловити теорія розводити черевик уточнити.,45,nurse
Procedure 15,Означати червʼяк господь коробка трубка міркування.,60,administrator
Procedure 16,Адже інтернет ягода ніч перебивати мʼята покидати важливий.,45,lab_manager
Procedure 17,Ґаздиня упор тисяча страта дівка хлопець протягувати.,5,phlebotomist
Procedure 18,Лівий рішення світило будівництво решітка розуміти труп.,30,phlebotomist
Procedure 19,Нервово зловити при степ досліджено головка.,20,nurse
Procedure 20,Міф другий чоловічок в'язниця простір вказаний потім постійний актриса купа-невеличка.,5,phlebotomist
Procedure 21,Постійний суглоб незручно медицина через картинка фахівець.,45,lab_manager
Procedure 22,Різноманітний холодно простір збудження гроші перетнути програміст струмок трясти.,5,lab_technician
Procedure 23,Заспівати реклама сміливий ліхтарик голубчик вечір звільнити.,10,researcher
Procedure 24,Несподіваний брову увійти безглуздий лапа польовий медицина олівець.,30,nurse
Procedure 25,Упор сміливий правильний гіркий друкувати головка вітрина прохід їсти.,45,lab_manager
Procedure 26,Кидати дихання мить витягувати дальній гуляти виднітися відповісти тривога протягувати.,20,administrator
Procedure 27,Вигнати уникати функція самостійно потім написати.,5,technician
Procedure 28,Художній мить наполегливо зміна присісти вперед комунізм.,5,technician
Procedure 29,Груди ґаздиня дружно монета конференція червонй терапія тисяча несподіваний.,10,administrator
Procedure 30,Досліджено степ трубка ліворуч покидати полюбити сміятися вітрина приходити.,60,nurse
