name,phone,email
BioMed Ltd,+380670002001,contact1@supplier.example
LabCorp Ltd,+380670002002,contact2@supplier.example
Abbott Ltd,+380670002003,contact3@supplier.example
Siemens Ltd,+380670002004,contact4@supplier.example
Roche Ltd,,
Beckman Coulter Ltd,+380670002006,contact6@supplier.example
Sysmex Ltd,+380670002007,contact7@supplier.example
Thermo Fisher Ltd,,contact8@supplier.example
Ortho Clinical Ltd,+380670002009,contact9@supplier.example
Alere Ltd,+380670002010,contact10@supplier.example
Bio-Rad Ltd,+380670002011,contact11@supplier.example
Immunetics Ltd,,contact12@supplier.example
Diagnostica Ltd,+380670002013,contact13@supplier.example
MedSupply Ltd,,contact14@supplier.example
ChemLab Ltd,+380670002015,contact15@supplier.example
BioSupply Ltd,+380670002016,contact16@supplier.example
EquipCo Ltd,+380670002017,contact17@supplier.example
TechLabs Ltd,,
ProMedical Ltd,+380670002019,contact19@supplier.example
VitalCare Ltd,,contact20@supplier.example
BioSource Ltd,+380670002021,contact21@supplier.example
NexGen Ltd,+380670002022,contact22@supplier.example
InnovateLab Ltd,,
PrecisionBio Ltd,,contact24@supplier.example
QualityMed Ltd,+380670002025,contact25@supplier.example
