room_id,title,status,start_date,end_date,result_json
44,Research Project 1: Соціалістичний реклама залучати блискучий.,completed,2023-10-30,2023-12-12,
32,Research Project 2: Діставати похмуро похмуро хід.,active,2025-02-16,2025-10-14,
15,Research Project 3: Дружно господь командування головний й.,on_hold,2025-03-22,2025-05-24,
55,Research Project 4: Хлопець полюбити гідність.,cancelled,2024-08-02,,
76,Research Project 5: Будівництво колектив дівка.,planning,2024-11-30,,{}
63,Research Project 6: Отже сумний безглуздий рідкий.,planning,2025-01-14,2025-07-28,
44,Research Project 7: Самостійно написати уточнити співрозмовник.,active,2025-07-09,,
10,Research Project 8: Їжа закласти банк повністю.,cancelled,2025-01-28,2025-06-10,
52,Research Project 9: Заклад рис головка.,active,2025-05-09,,
,Research Project 10: Тута направо вчений.,on_hold,2025-11-02,2026-09-24,
45,Research Project 11: Актриса художній вивчити адже.,planning,2024-07-04,2025-04-03,
70,Research Project 12: Навряд суглоб нарада адвокат.,on_hold,2025-04-01,2025-10-01,
